date,nav
2026-09-10,10.0
2026-09-11,9.96
2026-09-15,9.8
2026-09-16,9.82
2026-09-17,9.85
2026-09-18,9.92
2026-09-21,9.9
2026-09-22,9.84
2026-09-23,9.88
2026-09-24,9.78
2026-09-25,9.79
