date,nav
2026-09-10,10.02
2026-09-11,9.99
2026-09-15,9.9
2026-09-16,9.88
2026-09-17,9.95
2026-09-18,10.05
2026-09-21,10.08
2026-09-22,10.04
2026-09-23,10.1
2026-09-24,10.03
2026-09-25,9.96
