date,nav
2026-08-28,10.0042
2026-08-31,10.0084
2026-09-01,10.0112
2026-09-02,10.0162
2026-09-03,10.0287
2026-09-04,10.0327
2026-09-07,10.0379
2026-09-08,10.0424
2026-09-09,10.0438
2026-09-10,10.0428
2026-09-11,10.039
2026-09-15,10.0356
2026-09-16,10.0367
2026-09-17,10.0392
2026-09-18,10.0431
2026-09-21,10.0498
2026-09-22,10.0504
2026-09-23,10.0521
2026-09-24,10.0436
2026-09-25,10.0372
