date,close
2014-05-06,2172.75
2014-05-07,2149.0
2014-05-08,2141.75
2014-05-09,2107.25
2014-05-12,2088.25
2014-05-13,2085.25
2014-05-14,2110.0
2014-05-15,2115.5
2014-05-16,2106.25
2014-05-19,2113.75
2014-05-20,2106.75
2014-05-21,2106.75
2014-05-22,2136.0
2014-05-23,2150.0
2014-05-27,2159.25
2014-05-28,2174.25
2014-05-29,2179.25
2014-05-30,2177.25
2014-06-02,2186.0
2014-06-03,2198.0
2014-06-04,2189.75
2014-06-05,2201.0
2014-06-06,2222.25
2014-06-09,2257.0
2014-06-10,2250.75
2014-06-11,2222.25
2014-06-12,2183.0
2014-06-13,2190.25
2014-06-16,2206.75
2014-06-17,2195.75
2014-06-18,2211.0
2014-06-19,2225.75
2014-06-20,2221.5
2014-06-23,2231.25
2014-06-24,2247.5
2014-06-25,2245.75
2014-06-26,2241.75
2014-06-27,2233.25
2014-06-30,2242.25
2014-07-01,2234.25
2014-07-02,2268.5
2014-07-03,2281.25
2014-07-07,2267.5
2014-07-08,2280.75
2014-07-09,2278.5
2014-07-10,2272.75
2014-07-11,2290.25
2014-07-14,2291.5
2014-07-15,2293.75
2014-07-16,2311.5
2014-07-17,2325.5
2014-07-18,2326.25
2014-07-21,2364.0
2014-07-22,2384.5
2014-07-23,2360.0
2014-07-24,2392.5
2014-07-25,2371.25
2014-07-28,2378.0
2014-07-29,2339.0
2014-07-30,2373.0
2014-07-31,2351.0
2014-08-01,2335.0
2014-08-04,2375.0
2014-08-05,2359.0
2014-08-06,2374.5
2014-08-07,2372.5
2014-08-08,2372.5
2014-08-11,2385.0
2014-08-12,2385.5
2014-08-13,2361.0
2014-08-14,2325.25
2014-08-15,2321.5
2014-08-18,2340.0
2014-08-19,2362.75
2014-08-20,2400.25
2014-08-21,2386.25
2014-08-22,2401.25
2014-08-25,2401.25
2014-08-26,2443.5
2014-08-27,2441.25
2014-08-28,2441.75
2014-08-29,2462.25
2014-09-02,2472.0
2014-09-03,2452.75
2014-09-04,2478.25
2014-09-05,2463.75
2014-09-08,2466.75
2014-09-09,2438.0
2014-09-10,2423.5
2014-09-11,2411.5
2014-09-12,2399.0
2014-09-15,2358.0
2014-09-16,2386.25
2014-09-17,2355.5
2014-09-18,2340.5
2014-09-19,2335.75
2014-09-22,2334.0
2014-09-23,2327.0
2014-09-24,2341.75
2014-09-25,2316.5
2014-09-26,2314.5
2014-09-29,2328.25
2014-09-30,2320.5
2014-10-01,2291.75
2014-10-02,2255.75
2014-10-03,2279.25
2014-10-06,2300.5
2014-10-07,2319.75
2014-10-08,2307.0
2014-10-09,2319.0
2014-10-10,2304.25
2014-10-13,2316.25
2014-10-14,2320.75
2014-10-15,2296.0
2014-10-16,2285.25
2014-10-17,2349.75
2014-10-20,2358.0
2014-10-21,2378.25
2014-10-22,2398.5
2014-10-23,2398.5
2014-10-24,2361.5
2014-10-27,2373.5
2014-10-28,2395.25
2014-10-29,2431.25
2014-10-30,2420.75
2014-10-31,2445.5
2014-11-03,2461.5
2014-11-04,2442.5
2014-11-05,2445.25
2014-11-06,2471.0
2014-11-07,2455.5
2014-11-10,2424.25
2014-11-11,2434.0
2014-11-12,2454.5
2014-11-13,2434.75
2014-11-14,2409.5
2014-11-17,2421.0
2014-11-18,2402.5
2014-11-19,2409.25
2014-11-20,2422.25
2014-11-21,2434.25
2014-11-24,2424.5
2014-11-25,2427.5
2014-11-26,2428.0
2014-11-28,2368.25
2014-12-01,2367.75
2014-12-02,2326.5
2014-12-03,2308.25
2014-12-04,2333.75
2014-12-05,2323.5
2014-12-08,2312.75
2014-12-09,2322.75
2014-12-10,2309.25
2014-12-11,2297.75
2014-12-12,2288.25
2014-12-15,2271.25
2014-12-16,2252.5
2014-12-17,2268.25
2014-12-18,2255.5
2014-12-19,2255.0
2014-12-22,2233.5
2014-12-23,2217.0
2014-12-24,2208.0
2014-12-26,2208.0
2014-12-29,2201.75
2014-12-30,2194.0
2014-12-31,2194.0
2015-01-02,2168.5
2015-01-05,2148.25
2015-01-06,2144.5
2015-01-07,2165.0
2015-01-08,2202.75
2015-01-09,2189.0
2015-01-12,2197.75
2015-01-13,2189.5
2015-01-14,2171.5
2015-01-15,2203.25
2015-01-16,2242.75
2015-01-20,2242.0
2015-01-21,2267.25
2015-01-22,2272.25
2015-01-23,2229.0
2015-01-26,2281.75
2015-01-27,2275.0
2015-01-28,2281.0
2015-01-29,2249.5
2015-01-30,2295.5
2015-02-02,2297.5
2015-02-03,2311.75
2015-02-04,2296.5
2015-02-05,2309.5
2015-02-06,2260.25
2015-02-09,2249.5
2015-02-10,2204.75
2015-02-11,2182.0
2015-02-12,2212.75
2015-02-13,2210.5
2015-02-17,2133.5
2015-02-18,2072.75
2015-02-19,2072.75
2015-02-20,2111.0
2015-02-23,2074.5
2015-02-24,2067.25
2015-02-25,2076.0
2015-02-26,2105.25
2015-02-27,2071.5
2015-03-02,2070.5
2015-03-03,2106.25
2015-03-04,2071.0
2015-03-05,2066.25
2015-03-06,2058.5
2015-03-09,2080.5
2015-03-10,2030.0
2015-03-11,2026.75
2015-03-12,2009.75
2015-03-13,2026.5
2015-03-16,2033.0
2015-03-17,2042.0
2015-03-18,2041.75
2015-03-19,2062.0
2015-03-20,2088.0
2015-03-23,2084.75
2015-03-24,2084.5
2015-03-25,2037.0
2015-03-26,2061.25
2015-03-27,2041.75
2015-03-30,2050.75
2015-03-31,2062.5
2015-04-01,2036.0
2015-04-02,2035.25
2015-04-06,2031.75
2015-04-07,2042.0
2015-04-08,2017.75
2015-04-09,2014.75
2015-04-10,1990.5
2015-04-13,1984.25
2015-04-14,1994.5
2015-04-15,2018.75
2015-04-16,1997.5
2015-04-17,1990.75
2015-04-20,1986.75
2015-04-21,1984.25
2015-04-22,1977.5
2015-04-23,1960.5
2015-04-24,1993.0
2015-04-27,1993.0
2015-04-28,2039.75
2015-04-29,2008.25
2015-04-30,2025.0
2015-05-01,2023.5
2015-05-04,2023.5
2015-05-05,2069.0
2015-05-06,2049.25
2015-05-07,2012.0
2015-05-08,2013.25
2015-05-11,2001.75
2015-05-12,2018.25
2015-05-13,2006.5
2015-05-14,1990.0
2015-05-15,1973.25
2015-05-18,1938.25
2015-05-19,1938.25
2015-05-20,1876.75
2015-05-21,1875.0
2015-05-22,1867.25
2015-05-26,1850.25
2015-05-27,1835.75
2015-05-28,1874.25
2015-05-29,1835.0
2015-06-01,1867.75
2015-06-02,1845.0
2015-06-03,1852.0
2015-06-04,1839.25
2015-06-05,1847.25
2015-06-08,1804.25
2015-06-09,1841.0
2015-06-10,1858.75
2015-06-11,1838.5
2015-06-12,1844.75
2015-06-15,1820.0
2015-06-16,1822.0
2015-06-17,1812.5
2015-06-18,1815.0
2015-06-19,1792.5
2015-06-22,1809.75
2015-06-23,1837.5
2015-06-24,1823.25
2015-06-25,1822.25
2015-06-26,1827.75
2015-06-29,1813.0
2015-06-30,1804.75
2015-07-01,1836.25
2015-07-02,1831.5
2015-07-06,1799.5
2015-07-07,1764.5
2015-07-08,1765.5
2015-07-09,1788.5
2015-07-10,1789.0
2015-07-13,1797.5
2015-07-14,1791.5
2015-07-15,1778.75
2015-07-16,1775.5
2015-07-17,1775.0
2015-07-20,1763.0
2015-07-21,1717.5
2015-07-22,1712.0
2015-07-23,1693.0
2015-07-24,1697.5
2015-07-27,1721.75
2015-07-28,1733.25
2015-07-29,1733.0
2015-07-30,1732.0
2015-07-31,1705.5
2015-08-03,1690.0
2015-08-04,1695.75
2015-08-05,1672.25
2015-08-06,1695.75
2015-08-07,1670.5
2015-08-10,1722.0
2015-08-11,1691.5
2015-08-12,1693.75
2015-08-13,1667.0
2015-08-14,1672.75
2015-08-17,1662.0
2015-08-18,1649.25
2015-08-19,1651.0
2015-08-20,1659.5
2015-08-21,1632.0
2015-08-24,1601.5
2015-08-25,1635.0
2015-08-26,1611.5
2015-08-27,1652.5
2015-08-28,1688.5
2015-08-31,1688.5
2015-09-01,1690.0
2015-09-02,1679.5
2015-09-03,1713.0
2015-09-04,1688.5
2015-09-08,1712.5
2015-09-09,1720.5
2015-09-10,1721.25
2015-09-11,1720.0
2015-09-14,1706.5
2015-09-15,1696.0
2015-09-16,1722.5
2015-09-17,1720.5
2015-09-18,1712.0
2015-09-21,1704.5
2015-09-22,1675.5
2015-09-23,1663.0
2015-09-24,1664.5
2015-09-25,1652.5
2015-09-28,1629.0
2015-09-29,1639.5
2015-09-30,1641.25
2015-10-01,1630.0
2015-10-02,1607.0
2015-10-05,1603.75
2015-10-06,1616.25
2015-10-07,1627.0
2015-10-08,1620.0
2015-10-09,1681.25
2015-10-12,1672.0
2015-10-13,1658.5
2015-10-14,1658.5
2015-10-15,1648.75
2015-10-16,1646.5
2015-10-19,1617.5
2015-10-20,1602.0
2015-10-21,1584.5
2015-10-22,1569.5
2015-10-23,1565.0
2015-10-26,1558.25
2015-10-27,1559.75
2015-10-28,1561.25
2015-10-29,1554.5
2015-10-30,1557.0
2015-11-02,1569.25
2015-11-03,1595.5
2015-11-04,1619.0
2015-11-05,1626.5
2015-11-06,1649.75
2015-11-09,1656.75
2015-11-10,1642.75
2015-11-11,1651.5
2015-11-12,1626.75
2015-11-13,1626.5
2015-11-16,1603.5
2015-11-17,1611.25
2015-11-18,1611.75
2015-11-19,1607.5
2015-11-20,1589.0
2015-11-23,1579.0
2015-11-24,1591.0
2015-11-25,1611.0
2015-11-27,1625.0
2015-11-30,1602.5
2015-12-01,1630.25
2015-12-02,1646.75
2015-12-03,1634.5
2015-12-04,1669.5
2015-12-07,1641.5
2015-12-08,1628.25
2015-12-09,1643.25
2015-12-10,1641.75
2015-12-11,1636.5
2015-12-14,1645.0
2015-12-15,1626.0
2015-12-16,1640.0
2015-12-17,1629.0
2015-12-18,1657.0
2015-12-21,1664.25
2015-12-22,1654.5
2015-12-23,1680.0
2015-12-24,1697.75
2015-12-28,1697.75
2015-12-29,1670.75
2015-12-30,1661.25
2015-12-31,1634.5
2016-01-04,1601.5
2016-01-05,1593.25
2016-01-06,1607.0
2016-01-07,1607.75
2016-01-08,1624.5
2016-01-11,1596.5
2016-01-12,1584.5
2016-01-13,1599.75
2016-01-14,1621.25
2016-01-15,1609.5
2016-01-19,1620.0
2016-01-20,1605.5
2016-01-21,1618.75
2016-01-22,1620.0
2016-01-25,1612.25
2016-01-26,1627.75
2016-01-27,1650.0
2016-01-28,1639.75
2016-01-29,1643.25
2016-02-01,1646.75
2016-02-02,1628.75
2016-02-03,1645.0
2016-02-04,1652.25
2016-02-05,1611.25
2016-02-08,1617.25
2016-02-09,1591.75
2016-02-10,1588.0
2016-02-11,1592.5
2016-02-12,1604.25
2016-02-16,1626.0
2016-02-17,1615.25
2016-02-18,1612.25
2016-02-19,1630.75
2016-02-22,1662.5
2016-02-23,1631.25
2016-02-24,1654.0
2016-02-25,1644.5
2016-02-26,1644.5
2016-02-29,1656.0
2016-03-01,1653.75
2016-03-02,1669.25
2016-03-03,1663.25
